response,data_scope,component,estimate,lower,upper,convergence_status,max_parameter_rhat,min_parameter_ess,diagnostic_note,source_commit,source_model_summary,source_diagnostics
lnRR,matched_subset_232_effects_30_studies,residual_sd,1.11347113985699,0.890644788599684,1.40155085231389,failed_convergence,1.14358821534898,46.4312214035195,"Study-ratio target diagnostics did not fully pass.",1b759ac,results/study_level_heterogeneity/model_summary.csv,results/study_level_heterogeneity/diagnostics.csv
lnRR,matched_subset_232_effects_30_studies,study_sd,2.50497961040809,1.00477990901929,6.59510201964118,failed_convergence,1.14358821534898,46.4312214035195,"Study-ratio target diagnostics did not fully pass.",1b759ac,results/study_level_heterogeneity/model_summary.csv,results/study_level_heterogeneity/diagnostics.csv
lnCVR,matched_subset_232_effects_30_studies,residual_sd,2.11090635552233,1.4689881198483,3.0328902637923,failed_convergence,1.00956637434277,1479.00678737349,"Study-ratio target diagnostics did not fully pass.",1b759ac,results/study_level_heterogeneity/model_summary.csv,results/study_level_heterogeneity/diagnostics.csv
lnCVR,matched_subset_232_effects_30_studies,study_sd,0.854092881471793,0.200467342918127,3.8415316813776,failed_convergence,1.00956637434277,1479.00678737349,"Study-ratio target diagnostics did not fully pass.",1b759ac,results/study_level_heterogeneity/model_summary.csv,results/study_level_heterogeneity/diagnostics.csv
